year,state,industry,nsva,industry_startups,industry_share,industry_cagr_3y,startup_cagr_3y,economic_strength_score,industry_growth_score,startup_momentum_score,underpenetration_score,industry_presence_score,balanced_opportunity_score,growth_opportunity_score,market entry_opportunity_score,balanced_rank,growth_rank,market entry_rank,opportunity_tier,key_drivers
2025,Andhra Pradesh,AI,1441786.0,45.0,0.0647482014388489,85.93942827232803,22.185576696861546,46.15,92.31,100.0,25.78,84.62,69.77,75.54,58.5,1.0,1.0,2.0,High Opportunity,"Startup Momentum, Industry Growth"
2025,Telangana,AI,1481185.0,109.0,0.064919594997022,79.01563594532087,6.729794326326077,53.85,84.62,76.92,22.66,92.31,66.07,67.99,56.8,2.0,2.0,5.0,High Opportunity,"Industry Presence, Industry Growth"
2025,Rajasthan,AI,1521722.0,41.0,0.0390848427073403,72.41086201913652,1.8797659731447205,61.54,76.92,53.85,35.96,69.23,59.5,60.65,56.94,3.0,4.0,4.0,High Opportunity,"Industry Growth, Industry Presence"
2025,Gujarat,AI,2295700.0,64.0,0.0246913580246913,70.11614811319606,4.337346049570767,76.92,69.23,69.23,40.62,23.08,55.82,59.66,58.34,4.0,5.0,3.0,High Opportunity,"Economic Strength, Industry Growth"
2025,Karnataka,AI,2696034.0,208.0,0.0836349014877362,45.880142011972794,-1.0626542093374325,84.62,23.08,30.77,39.53,100.0,55.6,42.14,54.94,5.0,9.0,6.0,Moderate Opportunity,"Industry Presence, Economic Strength"
2025,Tamil Nadu,AI,2896553.0,96.0,0.0556844547563805,50.78948822583076,-1.627674744085328,92.31,38.46,23.08,47.17,76.92,55.59,45.59,59.54,6.0,8.0,1.0,Moderate Opportunity,"Economic Strength, Industry Presence"
2025,Uttarakhand,AI,293455.0,9.0,0.0339622641509433,108.0083823051904,3.938861869606192,15.38,100.0,61.54,29.85,38.46,49.05,61.74,43.57,7.0,3.0,9.0,Moderate Opportunity,"Industry Growth, Startup Momentum"
2025,Maharashtra,AI,3821420.0,156.0,0.0352781546811397,43.31211639151724,-2.7780397840896476,100.0,15.38,15.38,50.25,46.15,45.43,33.9,54.31,8.0,12.0,7.0,Moderate Opportunity,"Economic Strength, Underpenetration"
2025,Madhya Pradesh,AI,1416661.0,34.0,0.0360551431601272,69.3532851810357,1.6432287115958566,38.46,61.54,46.15,24.06,53.85,44.81,47.12,41.06,9.0,7.0,10.0,Moderate Opportunity,"Industry Growth, Industry Presence"
2025,Bihar,AI,969815.0,14.0,0.0204081632653061,67.10993116548616,9.256208162890168,30.77,53.85,84.62,32.38,15.38,43.4,51.09,39.72,10.0,6.0,11.0,Moderate Opportunity,"Startup Momentum, Industry Growth"
2025,Rajasthan,AR VR (Augmented + Virtual Reality),1521722.0,6.0,0.0057197330791229,14.471424255333186,1.8797659731447205,50.0,80.0,60.0,63.36,100.0,70.67,70.67,66.01,1.0,3.0,2.0,High Opportunity,"Industry Presence, Industry Growth"
2025,Andhra Pradesh,AR VR (Augmented + Virtual Reality),1441786.0,2.0,0.0028776978417266,25.99210498948732,22.185576696861546,30.0,95.0,100.0,66.26,50.0,68.25,79.5,62.88,2.0,1.0,5.0,High Opportunity,"Startup Momentum, Industry Growth"
2025,Karnataka,AR VR (Augmented + Virtual Reality),2696034.0,11.0,0.0044229995979091,-7.724115558366041,-1.0626542093374325,80.0,70.0,40.0,67.75,70.0,65.55,63.05,69.33,3.0,5.0,1.0,High Opportunity,"Economic Strength, Industry Growth"
2025,Bihar,AR VR (Augmented + Virtual Reality),969815.0,2.0,0.0029154518950437,25.99210498948732,9.256208162890168,20.0,95.0,90.0,57.44,60.0,64.49,75.24,57.23,4.0,2.0,7.0,Moderate Opportunity,"Industry Growth, Startup Momentum"
2025,Telangana,AR VR (Augmented + Virtual Reality),1481185.0,9.0,0.0053603335318642,-13.69456260028179,6.729794326326077,40.0,60.0,80.0,51.83,90.0,64.37,64.37,56.55,5.0,4.0,8.0,Moderate Opportunity,"Industry Presence, Startup Momentum"
2025,Gujarat,AR VR (Augmented + Virtual Reality),2295700.0,7.0,0.0027006172839506,-13.986137246278185,4.337346049570767,70.0,50.0,70.0,70.33,40.0,60.07,60.07,63.1,6.0,6.0,4.0,Moderate Opportunity,"Underpenetration, Economic Strength"
2025,Tamil Nadu,AR VR (Augmented + Virtual Reality),2896553.0,8.0,0.0046403712296983,-22.21777625343594,-1.627674744085328,90.0,20.0,30.0,77.43,80.0,59.49,46.99,65.23,7.0,7.0,3.0,Moderate Opportunity,"Economic Strength, Industry Presence"
2025,Maharashtra,AR VR (Augmented + Virtual Reality),3821420.0,6.0,0.0013568521031207,-26.319370027192267,-2.7780397840896476,100.0,10.0,20.0,87.34,10.0,45.47,36.97,61.2,8.0,10.0,6.0,Moderate Opportunity,"Economic Strength, Underpenetration"
2025,West Bengal,AR VR (Augmented + Virtual Reality),1662856.0,2.0,0.0022099447513812,-20.62994740159002,-3.3369963801700986,60.0,35.0,10.0,80.1,30.0,43.02,39.77,53.03,9.0,8.0,9.0,Lower Opportunity,"Underpenetration, Economic Strength"
2025,Odisha,AR VR (Augmented + Virtual Reality),751750.0,1.0,0.0021505376344086,-20.62994740159002,1.0242117102315706,10.0,35.0,50.0,58.48,20.0,34.7,39.45,34.54,10.0,9.0,10.0,Lower Opportunity,"Underpenetration, Startup Momentum"
2025,Bihar,Advertising,969815.0,8.0,0.0116618075801749,58.74010519681994,9.256208162890168,25.0,91.67,91.67,40.34,91.67,68.07,74.74,56.27,1.0,1.0,8.0,High Opportunity,"Industry Growth, Startup Momentum"
2025,Maharashtra,Advertising,3821420.0,37.0,0.0083672546359113,9.735689700133566,-2.7780397840896476,100.0,58.33,16.67,60.7,83.33,63.81,55.06,69.88,2.0,7.0,1.0,High Opportunity,"Economic Strength, Industry Presence"
2025,Telangana,Advertising,1481185.0,11.0,0.0065515187611673,16.260329205681458,6.729794326326077,50.0,75.0,83.33,48.94,50.0,61.45,66.87,58.01,3.0,3.0,6.0,High Opportunity,"Startup Momentum, Industry Growth"
2025,Odisha,Advertising,751750.0,6.0,0.0129032258064516,81.71205928321396,1.0242117102315706,16.67,100.0,41.67,40.89,100.0,59.84,65.26,51.43,4.0,4.0,9.0,Moderate Opportunity,"Industry Growth, Industry Presence"
2025,West Bengal,Advertising,1662856.0,7.0,0.0077348066298342,20.507113208761503,-3.3369963801700986,66.67,83.33,8.33,65.63,75.0,59.79,58.54,64.69,5.0,5.0,2.0,Moderate Opportunity,"Industry Growth, Industry Presence"
2025,Andhra Pradesh,Advertising,1441786.0,3.0,0.0043165467625899,14.471424255333186,22.185576696861546,41.67,66.67,100.0,61.78,25.0,59.02,67.36,56.87,6.0,2.0,7.0,Moderate Opportunity,"Startup Momentum, Industry Growth"
2025,Karnataka,Advertising,2696034.0,17.0,0.0068355448331322,4.260360145884445,-1.0626542093374325,83.33,41.67,33.33,60.56,66.67,57.11,50.03,61.5,7.0,8.0,4.0,Moderate Opportunity,"Economic Strength, Industry Presence"
2025,Gujarat,Advertising,2295700.0,10.0,0.003858024691358,7.721734501594191,4.337346049570767,75.0,50.0,75.0,64.36,16.67,56.21,58.29,60.97,8.0,6.0,5.0,Moderate Opportunity,"Economic Strength, Startup Momentum"
2025,Tamil Nadu,Advertising,2896553.0,8.0,0.0046403712296983,0.0,-1.627674744085328,91.67,29.17,25.0,77.43,33.33,51.32,44.44,62.4,9.0,9.0,3.0,Moderate Opportunity,"Economic Strength, Underpenetration"
2025,Rajasthan,Advertising,1521722.0,7.0,0.0066730219256434,-4.353440861380542,1.8797659731447205,58.33,16.67,58.33,61.01,58.33,50.54,44.29,50.8,10.0,10.0,10.0,Lower Opportunity,"Underpenetration, Economic Strength"
2025,Andhra Pradesh,Aeronautics Aerospace & Defence,1441786.0,15.0,0.0215827338129496,35.72088082974532,22.185576696861546,41.67,100.0,100.0,39.71,91.67,74.61,81.28,63.58,1.0,1.0,2.0,High Opportunity,"Industry Growth, Startup Momentum"
2025,Telangana,Aeronautics Aerospace & Defence,1481185.0,44.0,0.0262060750446694,7.926529166647334,6.729794326326077,50.0,75.0,75.0,30.57,100.0,66.11,66.11,56.67,2.0,2.0,7.0,High Opportunity,"Industry Presence, Industry Growth"
2025,Tamil Nadu,Aeronautics Aerospace & Defence,2896553.0,33.0,0.0191415313225058,-3.74187335661752,-1.627674744085328,91.67,58.33,25.0,57.08,75.0,61.42,54.75,66.29,3.0,6.0,1.0,High Opportunity,"Economic Strength, Industry Presence"
2025,Gujarat,Aeronautics Aerospace & Defence,2295700.0,17.0,0.0065586419753086,-1.8872447186110584,4.337346049570767,75.0,66.67,66.67,55.72,41.67,61.14,62.81,63.38,4.0,3.0,3.0,Moderate Opportunity,"Economic Strength, Industry Growth"
2025,Karnataka,Aeronautics Aerospace & Defence,2696034.0,50.0,0.0201045436268596,-5.367714092436426,-1.0626542093374325,83.33,50.0,33.33,48.03,83.33,59.61,52.11,61.08,5.0,7.0,6.0,Moderate Opportunity,"Economic Strength, Industry Presence"
2025,West Bengal,Aeronautics Aerospace & Defence,1662856.0,8.0,0.0088397790055248,10.064241629820891,-3.3369963801700986,66.67,83.33,8.33,63.0,58.33,55.93,56.35,62.23,6.0,5.0,4.0,Moderate Opportunity,"Industry Growth, Economic Strength"
2025,Maharashtra,Aeronautics Aerospace & Defence,3821420.0,34.0,0.0076888285843509,-10.230869281653543,-2.7780397840896476,100.0,33.33,16.67,61.69,50.0,52.34,43.17,61.84,7.0,9.0,5.0,Moderate Opportunity,"Economic Strength, Underpenetration"
2025,Odisha,Aeronautics Aerospace & Defence,751750.0,8.0,0.0172043010752688,25.99210498948732,1.0242117102315706,16.67,91.67,41.67,35.91,66.67,50.52,58.02,44.94,8.0,4.0,9.0,Moderate Opportunity,"Industry Growth, Industry Presence"
2025,Rajasthan,Aeronautics Aerospace & Defence,1521722.0,5.0,0.0047664442326024,-5.896397111897144,1.8797659731447205,58.33,41.67,58.33,65.26,25.0,49.72,50.55,53.75,9.0,8.0,8.0,Moderate Opportunity,"Underpenetration, Economic Strength"
2025,Madhya Pradesh,Aeronautics Aerospace & Defence,1416661.0,5.0,0.0053022269353128,-14.501202666165147,1.6432287115958566,33.33,25.0,50.0,51.61,33.33,38.65,38.24,38.82,10.0,12.0,10.0,Lower Opportunity,"Underpenetration, Startup Momentum"
2025,Arunachal Pradesh,Agriculture,40196.0,10.0,0.4,70.99759466766969,40.572110883624866,7.14,100.0,100.0,22.61,100.0,65.95,75.24,48.93,1.0,1.0,6.0,High Opportunity,"Industry Growth, Startup Momentum"
2025,Andhra Pradesh,Agriculture,1441786.0,52.0,0.074820143884892,16.36699011798588,22.185576696861546,50.0,85.71,92.86,24.02,64.29,63.37,69.45,55.06,2.0,2.0,2.0,High Opportunity,"Startup Momentum, Industry Growth"
2025,Bihar,Agriculture,969815.0,61.0,0.0889212827988338,19.218168250677813,9.256208162890168,35.71,92.86,78.57,13.84,92.86,62.77,67.77,50.58,3.0,3.0,5.0,High Opportunity,"Industry Growth, Industry Presence"
2025,Gujarat,Agriculture,2295700.0,180.0,0.0694444444444444,3.788414202574586,4.337346049570767,78.57,50.0,64.29,35.41,57.14,57.08,54.23,56.34,4.0,5.0,1.0,High Opportunity,"Economic Strength, Startup Momentum"
2025,Madhya Pradesh,Agriculture,1416661.0,80.0,0.0848356309650053,10.682593040538936,1.6432287115958566,42.86,78.57,42.86,15.97,85.71,53.19,54.26,46.22,5.0,4.0,8.0,Moderate Opportunity,"Industry Presence, Industry Growth"
2025,Tamil Nadu,Agriculture,2896553.0,109.0,0.0632250580046403,-1.4838989489907697,-1.627674744085328,92.86,28.57,21.43,46.36,42.86,46.41,38.2,53.91,6.0,11.0,4.0,Moderate Opportunity,"Economic Strength, Underpenetration"
2025,Odisha,Agriculture,751750.0,38.0,0.0817204301075268,9.4280179274302,1.0242117102315706,28.57,71.43,35.71,13.93,78.57,45.64,47.43,38.46,7.0,8.0,12.0,Moderate Opportunity,"Industry Presence, Industry Growth"
2025,Jammu & Kashmir,Agriculture,206673.0,20.0,0.0793650793650793,1.724476819110099,14.020744690430842,14.29,42.86,85.71,13.52,71.43,45.56,47.7,32.63,8.0,7.0,13.0,Moderate Opportunity,"Startup Momentum, Industry Presence"
2025,Telangana,Agriculture,1481185.0,85.0,0.0506253722453841,6.182641647800335,6.729794326326077,57.14,57.14,71.43,24.6,14.29,44.92,49.92,44.52,9.0,6.0,10.0,Moderate Opportunity,"Startup Momentum, Economic Strength"
2025,Maharashtra,Agriculture,3821420.0,279.0,0.0630936227951153,-4.665642533743886,-2.7780397840896476,100.0,21.43,14.29,48.89,35.71,44.06,34.42,53.95,10.0,12.0,3.0,Moderate Opportunity,"Economic Strength, Underpenetration"
2025,Andhra Pradesh,Airport Operations,1441786.0,2.0,0.0028776978417266,,22.185576696861546,25.0,,100.0,66.26,100.0,,,,,,,Lower Opportunity,"Startup Momentum, Industry Presence"
2025,Gujarat,Airport Operations,2295700.0,1.0,0.0003858024691358,,4.337346049570767,50.0,,75.0,90.28,25.0,,,,,,,Lower Opportunity,"Underpenetration, Startup Momentum"
2025,Maharashtra,Airport Operations,3821420.0,2.0,0.0004522840343735,,-2.7780397840896476,100.0,,25.0,99.46,50.0,,,,,,,Lower Opportunity,"Economic Strength, Underpenetration"
